name,source,school,level,ritual,time,range,components,duration,description,save,save_type,attack,attack_type,Lists
Acid Splash,Player's Handbook,Conjuration,cantrip,FALSE,1 action,60 feet,"V, S",Instantaneous,"you hurl a bubble of acid. choose one creature you can see within range, or choose two creatures you can see within range that are within 5 feet of each other. a target must succeed on a dexterity saving throw or take 1d6 acid damage. at higher levels. this spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",TRUE,['dexterity'],FALSE,FALSE,"artificer, sorcerer, wizard"
Blade Ward,Player's Handbook,Abjuration,cantrip,FALSE,1 action,Self,"V, S",1 round,"you extend your hand and trace a sigil of warding in the air. until the end of your next turn, you have resistance against bludgeoning, piercing, and slashing damage dealt by weapon attacks.",FALSE,FALSE,FALSE,FALSE,"bard, sorcerer, warlock, wizard"
Booming Blade,Tasha's Cauldron of Everything,Evocation,cantrip,FALSE,1 action,Self (5-foot radius),"S, M (a melee weapon worth at least 1 sp)",1 round,"you brandish the weapon used in the spell’s casting and make a melee attack with it against one creature within 5 feet of you. on a hit, the target suffers the weapon attack’s normal effects and then becomes sheathed in booming energy until the start of your next turn. if the target willingly moves 5 feet or more before then, the target takes 1d8 thunder damage, and the spell ends. at higher levels. at 5th level, the melee attack deals an extra 1d8 thunder damage to the target on a hit, and the damage the target takes for moving increases to 2d8. both damage rolls increase by 1d8 at 11th level (2d8 and 3d8) and again at 17th level (3d8 and 4d8).",FALSE,FALSE,FALSE,FALSE,"artificer, sorcerer (optional), warlock (optional), wizard (optional)"
Chill Touch,Player's Handbook,Necromancy,cantrip,FALSE,1 action,120 feet,"V, S",1 round,"you create a ghostly, skeletal hand in the space of a creature within range. make a ranged spell attack against the creature to assail it with the chill of the grave. on a hit, the target takes 1d8 necrotic damage, and it can’t regain hit points until the start of your next turn. until then, the hand clings to the target. if you hit an undead target, it also has disadvantage on attack rolls against you until the end of your next turn. at higher levels. this spell’s damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",FALSE,FALSE,TRUE,ranged spell attack,"sorcerer, warlock, wizard"
Control Flames,Xanathar's Guide to Everything,Transmutation,cantrip,FALSE,1 action,60 feet,S,Instantaneous or 1 hour,"you choose nonmagical flame that you can see within range and that fits within a 5-foot cube. you affect it in one of the following ways: if you cast this spell multiple times, you can have up to three of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.",FALSE,FALSE,FALSE,FALSE,"druid, sorcerer, wizard"
Create Bonfire,Xanathar's Guide to Everything,Conjuration,cantrip,FALSE,1 action,60 feet,"V, S","Concentration, up to 1 minute","you create a bonfire on ground that you can see within range. until the spell ends, the bonfire fills a 5-foot cube. any creature in the bonfire’s space when you cast the spell must succeed on a dexterity saving throw or take 1d8 fire damage. a creature must also make the saving throw when it enters the bonfire’s space for the first time on a turn or ends its turn there. at higher levels. the spell’s damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",TRUE,"['dexterity', 'the']",FALSE,FALSE,"artificer, druid, sorcerer, warlock, wizard"
Dancing Lights,Player's Handbook,Evocation,cantrip,FALSE,1 action,120 feet,"V, S, M (a bit of phosphorus or wychwood, or a glowworm)","Concentration, up to 1 minute","you create up to four torch-sized lights within range, making them appear as torches, lanterns, or glowing orbs that hover in the air for the duration. you can also combine the four lights into one glowing vaguely humanoid form of medium size. whichever form you choose, each light sheds dim light in a 10-foot radius. as a bonus action on your turn, you can move the lights up to 60 feet to a new spot within range. a light must be within 20 feet of another light created by this spell, and a light winks out if it exceeds the spell’s range.",FALSE,FALSE,FALSE,FALSE,"artificer, bard, sorcerer, wizard"
Decompose,Critical Role (Twitter),Necromancy,cantrip,FALSE,1 action,Touch,"V, S",1 minute,"you reach out and touch the corpse of a creature. over the next minute, the corpse begins to rapidly decompose, sprouting fungus and moss as it begins to degrade into compost and mulch. an odd-colored flower or two may also spring from the corpse in this time. applicable requirements for resurrection are unaffected by this decomposition.",FALSE,FALSE,FALSE,FALSE,cleric
Druidcraft,Player's Handbook,Transmutation,cantrip,FALSE,1 action,30 feet,"V, S",Instantaneous,"whispering to the spirits of nature, you create one of the following effects within range:",FALSE,FALSE,FALSE,FALSE,druid
Eldritch Blast,Player's Handbook,Evocation,cantrip,FALSE,1 action,120 feet,"V, S",Instantaneous,"a beam of crackling energy streaks toward a creature within range. make a ranged spell attack against the target. on a hit, the target takes 1d10 force damage. at higher levels. the spell creates more than one beam when you reach higher levels: two beams at 5th level, three beams at 11th level, and four beams at 17th level. you can direct the beams at the same target or at different ones. make a separate attack roll for each beam.",FALSE,FALSE,TRUE,ranged spell attack,warlock
